state,county, TOT_MALE,TOT_FEMALE,% Age 0 to 4 years,% Age 5 to 9 years,% Age 10 to 14 years,% Age 15 to 19 years,% Age 20 to 24 years,% Age 25 to 29 years,% Age 30 to 34 years,% Age 35 to 39 years,% Age 40 to 44 years,% Age 45 to 49 years,% Age 50 to 54 years,% Age 55 to 59 years,% Age 60 to 64 years,% Age 65 to 69 years,% Age 70 to 74 years,% Age 75 to 79 years,% Age 80 to 84 years,%  Age 85 years or older,%  TOT_MALE,% TOT_FEMALE,fips
Indiana,Putnam,19840,17939,5.140421927525874,5.222478096296884,5.669816564758199,7.877392202016993,9.693215807723869,6.723311892850525,5.926572963815876,5.62217104740729,5.5824664496148655,6.199211201990524,6.564493501680828,6.953598560046586,6.246856719341433,5.26482966727547,4.07369173350274,3.107546520553747,2.091108817067683,2.0408163265306123,52.515948013446625,47.484051986553375,18133
Indiana,Randolph,12202,12649,5.891111021689268,6.048046356283449,6.587260070017304,6.687859643475112,5.508832642549596,5.484688744919722,4.989738843507303,5.44847289847491,5.786487465293147,6.542996257695867,6.474588547744557,7.202929459579091,7.04599412498491,5.9595187316405775,5.034002655828739,3.8308317572733492,2.615588909903022,2.861051869140075,49.10063981328719,50.899360186712805,18135
Indiana,Ripley,14128,14395,5.911019177505873,6.27213126248992,6.952284121586088,6.913718753286821,6.065280650702942,5.805840900326053,5.195806892683097,5.970620201241104,5.777793359744767,6.552606668302772,6.822564246397644,7.253795182834905,6.678820600918558,5.563930862812467,4.662903621638677,3.155348315394594,2.1421309118956633,2.3034042702380533,49.5319566665498,50.4680433334502,18137
Indiana,Rush,8223,8440,5.833283322330913,5.821280681749985,6.865510412290704,6.487427233991479,5.881293884654624,5.79727540058813,5.305167136770089,5.545219948388645,5.6532437136169955,6.625457600672148,7.039548700714157,7.507651683370343,7.297605473204105,5.545219948388645,4.6030126627858134,3.462761807597672,2.454539998799736,2.274500390085819,49.348856748484664,50.65114325151533,18139
Indiana,Scott,11731,12147,5.909205126057459,6.1646704079068595,6.541586397520731,6.122790853505319,5.720747131250524,6.512270709439652,5.733310997570986,5.930144903258229,6.340564536393332,7.18234357986431,6.876622832733059,7.676522321802497,6.642097328084429,5.444342072200352,4.569059385208141,3.1995979562777452,1.9850908786330514,1.4490325822933243,49.128905268447944,50.871094731552056,18143
Indiana,Shelby,22146,22447,5.756508869105017,6.157917161886395,6.705088242549278,6.2902249231942235,5.590563541362995,6.173614692889019,5.7923889399681565,5.87984661269706,6.1040970555916845,6.456170250936245,7.0952840131859265,7.635727580561971,7.220864261206916,5.64662615208665,4.2450608839952455,3.1529612270984235,1.9307963133227186,2.1662592783620744,49.66250308344359,50.33749691655641,18145
Indiana,Spencer,10232,10095,5.199980321739559,5.77064987455109,6.705367245535494,6.29212377625818,5.4016824912677714,5.249175972844001,5.377084665715551,5.682097702563094,5.731293353667536,6.365917252914842,7.162886800806809,8.176317213558322,7.541693314311015,6.2035716042701825,5.126186845082895,3.5666847050720714,2.1744477788163525,2.2728390810252375,50.33699021006544,49.66300978993457,18147
Indiana,St. Joseph,131836,138935,6.412429691510538,6.5446447366963225,6.641036152320595,7.426940108061794,7.522223576380041,7.021431394056233,6.316038275886266,6.176806231095648,5.5991963688873625,5.915699982642159,5.913114772261431,6.381407166941806,6.3285950120212275,5.355447961561615,3.7426459997562516,2.6018295903180175,1.7745622684851776,2.3259507111175126,48.68911367908675,51.31088632091324,18141
Indiana,Starke,11437,11498,5.868759537824286,6.121648136036625,6.740789186832352,6.217571397427513,5.332461303684325,6.099847394811424,5.424024416830172,5.842598648354044,5.65511227381731,6.57946370176586,6.370176586003924,7.569217353390015,7.577937649880095,6.487900588620013,4.626117287987792,3.5884020056681925,2.393721386527142,1.5042511445389144,49.86701547852627,50.13298452147373,18149
Indiana,Steuben,17560,17026,5.713294396576649,5.3258543919505,5.817382756028451,6.918984560226682,6.953680680043949,5.5282484242178915,5.045394090094258,4.993349910368357,5.1032209564563695,6.306019776788297,6.968137396634476,7.468339790666743,7.66784247961603,6.921875903544787,5.386572601630717,3.5737003411785118,2.3188573411206845,1.9892442028566473,50.771988665934195,49.228011334065805,18151
Indiana,Sullivan,11241,9449,5.041082648622523,5.186080231996133,5.408409859835669,5.819236346060899,6.036732721121315,7.394876752054133,6.8148864185596905,6.582890285161914,6.713388110198164,6.930884485258579,6.882551957467376,6.732721121314644,6.486225229579507,5.780570323827936,4.818753020782987,3.1029482841952634,2.0057999033349443,2.2619623006283227,54.33059449009183,45.66940550990817,18153
